,,,,
,,vanilla,matrix,openmp
,5,0.000205767,0.000446186,0.00293075
,,vanilla,matrix,openmp
,25,0.00134528,0.00134283,0.00265945
,,vanilla,matrix,openmp
,100,0.0126632,0.0092258,0.00580881
,,vanilla,matrix,openmp
,1000,0.371515,0.320362,0.148326
