0,199,227,248,257,262
1,625,753,791,786,778
2,239,283,279,275,274
3,394,465,480,491,500
4,962,1064,1119,1152,1171
5,597,410,325,296,276
6,85,86,67,62,61
7,301,113,93,83,80
8,1,2,1,1,1
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
